,mae,mae_main_etf,r2_score,r2_score_main_etf,shapiro_normal,pearson_normal,ks_normal,chisquare_normal,shapiro_normal_main_etf,pearson_normal_main_etf,ks_normal_main_etf,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
CTXS,0.7139166640853649,0.6069050637581047,0.0026412988131638837,-0.02123407772547181,False,False,False,False,False,False,False,False,34,22,1.8370475719551604,2.2611973573280038,0.5066716395155257,-0.05183839372409027,-0.558510033239616,0.45483324579143547,-1.0651816727551418,0.9615048853069612,0.17107017578637174,0.1031994985056468
TTD,0.848725199521972,0.8738459934633575,0.10752038904255112,0.1456207862146206,False,False,False,False,False,False,False,False,30,35,2.2358747076177985,2.0603085283954896,1.3324147134139068,0.0905673892905503,-1.2418473241233565,1.4229821027044571,-2.574262037537263,2.755396816118364,0.3407289642263227,0.3129062737102368
ROKU,0.9153419274439313,0.8962447840750151,0.07458817616467284,0.15060809418594456,False,False,False,False,False,False,False,False,31,33,2.432162025201802,2.367623324420054,1.2443776043339418,0.06267971257802607,-1.1816978917559158,1.307057316911968,-2.4260754960898576,2.5514349212459098,0.3742488419601424,0.342742255549776
MDB,0.9848868520477352,0.8645369940107221,0.023257278787586433,0.05118545345394687,False,False,False,False,False,False,False,False,40,30,2.157339831012353,2.4393539436207345,1.0960506726101351,-0.016106388893115577,-1.1121570615032508,1.0799442837170194,-2.208207734113386,2.1759949563271546,0.3319727117918241,0.2501851878433383
TTWO,0.46563380489492434,0.4333157899624549,-0.17245875682741496,0.002854697442469245,False,False,False,True,False,False,False,True,36,37,1.0774493143510568,1.00864950623724,0.5598965225878815,0.08825608997030253,-0.47164043261757893,0.648152612558184,-1.0315369552054605,1.2080491351460654,0.11523249785067047,0.08624560860287767
OKTA,0.6473398197560838,0.6932640030140547,0.1987603704373101,0.18978814513815379,False,False,False,False,False,False,False,False,31,32,1.6803583314628623,1.6912972717773942,1.0711132587957244,0.038253467422904724,-1.0328597913728197,1.109366726218629,-2.103973050168544,2.1804799850143537,0.42068574266757774,0.33303392814385646
SMAR,0.6919649472668069,0.7250693555941216,0.0736036082957846,0.10910149761060794,False,False,False,True,False,False,False,True,33,35,1.6344965094498638,1.6282156424627166,1.1156814962341501,0.009030960533451853,-1.1066505357006984,1.124712456767602,-2.2223320319348483,2.2403939530017523,0.3573275261909197,0.28500648966442965
NLOK,0.5065755230028252,0.5114357554598226,-0.22070626950009964,-0.04521612581551171,False,False,False,False,False,False,False,True,32,35,1.3406920892076337,1.1949723976236333,0.6202166994637125,0.10470091005978586,-0.5155157894039266,0.7249176095234984,-1.1357324888676392,1.3451343089872108,0.05032088150117586,-0.015224679069685276
BILL,0.9327392324735967,0.9740109157965394,0.19362628422024375,0.17070431675927944,False,False,False,False,False,False,False,False,31,33,2.396852610008338,2.409367164650791,1.3238524992273284,-0.013284362807308795,-1.337136862034637,1.3105681364200197,-2.6609893612619655,2.634420635647348,0.5355420065793296,0.5163192579147524
ASAN,1.1825265429292586,1.2435493405719327,0.0880755682829657,0.08183516459795326,False,False,False,False,False,False,False,False,33,40,2.988607604037101,2.7177114429546867,1.4357387517312092,0.04059616943715002,-1.3951425822940593,1.4763349211683592,-2.8308813340252685,2.9120736728995684,,
